INSTANCE_ID, num_nodes, cost_matrix_avg, cost_matrix_std, cost_matrix_skew, mst_length, mst_length_avg, mst_length_std, mst_length_skew, mst_degree_avg, mst_degree_std, mst_degree_skew, cluster_distance_avg, cluster_distance_std, cluster_distance_skew, tour_const_heu_avg, tour_const_std, tour_const_skew, ls_impov_per_step_avg, ls_impov_per_step_std, ls_impov_per_step_skew, ls_steps_2lm_avg, ls_steps_2lm_std, ls_steps_2lm_skew, ls_maxdist_avg, ls_maxdist_std, ls_maxdist_skew, ls_bestsol_avg, ls_bestsol_std, ls_bestsol_skew, ls_backbone_avg, ls_backbone_std, ls_backbone_skew, bc_improv_per_cut_avg, bc_improv_per_cut_std, bc_improv_per_cut_skew, bc_upper_lower_ratio, bc_no1s_min, bc_no1s_q25, bc_no1s_q50, bc_no1s_q75, bc_no1s_max, bc_p1s, bc_pn1s, acc, stdTime, mstTime, clusterTime, lpTime, bcTime, acfTime, s, cx, cy, radius, D1fraction, D2fraction, D3fraction, D4fraction, area, sdnNNd, coeffvarnNNd, clusterratio, outlierratio, varCitiesperCluster
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-337-570620, 337.0, 350574.114676537, 0.667676577, 4.826308149, 0.043923084, 0.044053807, 1.191649744, 0.103303576, 1.994065282, 0.327800056, 166.978257849, 0.401006535, 0.868695275, 3.430563478, 0.064845535, 2.9e-08, -1.8e-08, 0.001753764, 0.001440573, 0.827391079, 0.87462908, 0.780265849, 0.701263341, 0.185014837, 0.042239551, 4.71569645, 18.051938763, 0.000192099, 0.246654428, 0.957386364, 0.19170138, -0.221777182, 0.048855694, 0.82410905, 10.004398605, 0.007494196, 0.04878, 0.181818, 0.5, 0.707317, 0.95122, 0.818991098, 0.370919881, 175.728997937, 0.02, 0.01, 0.21, 116.23, 0.87, 0.48, 106.314864, 481.647029, 717.653452, 622.411712, 0.036885, 0.248827, 0.459298, 0.49451, 160000.0, 0.099476, 0.138508, 0.005935, 0.002967, 9248.0
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-975-325037, 975.0, 413718.663334606, 0.66520252, 3.028307363, 0.020635087, 0.020656273, 1.133977101, 0.055846836, 1.997948718, 0.341538227, 8.419777116, 0.267307062, 1.009992209, 1.83063817, 0.03193411, 0.0, 0.0, 0.001475074, 0.001118334, 0.853280169, 0.640666667, 0.24129113, -3.177411674, 0.168615385, 0.022879842, -2.17168259, 24.077882467, 0.076431093, -0.667799207, 0.80115037, 0.321380534, -0.74436347, 0.047878536, 0.87128519, 1.728613913, 0.039040331, 0.014706, 0.176471, 0.5, 0.764706, 0.985294, 0.774358974, 0.473846154, 484.978752081, 0.13, 0.12, 3.05, 97.3, 2.67, 1.2, 113.135609, 1898.995785, 2421.291609, 2764.541499, 0.004542, 0.043147, 0.283813, 0.468618, 160000.0, 0.076608, 0.093171, 0.002051, 0.0, 130560.0
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-567-617562, 567.0, 477259.776032303, 0.63761264, 15.037408334, 0.025832183, 0.025877823, 1.847343665, 0.058514628, 1.996472663, 0.335240075, 6.885871234, 0.432956152, 0.951020702, 1.530568709, 0.039335689, 2.4e-08, -2.2e-08, 0.001517732, 0.001590713, 0.494058618, 0.991710758, 0.437677019, 5.021544275, 0.188800705, 0.029577487, -0.84657563, 18.014066095, 0.001805524, 0.55122223, 0.923452769, 0.240562181, -0.319360031, 0.088602899, 0.669484029, -1.454961327, 0.014072409, 0.071429, 0.285714, 0.5, 0.6, 0.928571, 0.793650794, 0.433862434, 260.716989231, 0.04, 0.04, 0.68, 113.75, 1.37, 0.74, 115.929765, 1212.210917, 732.628269, 1179.943078, 0.012464, 0.114318, 0.395553, 0.486788, 160000.0, 0.051658, 0.060228, 0.007055, 0.0, 5307.58
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-1161-2832168, 1161.0, 493424.918113554, 0.539099889, 6.12594728, 0.01753573, 0.017550847, 1.447673121, 0.08757855, 1.998277347, 0.332972394, 6.257254561, 0.316254012, 0.464169419, -1.477114126, 0.026990415, 0.0, 0.0, 0.001006351, 0.000403071, 0.902944516, 0.688458226, 0.107903648, -1.744026957, 0.196683893, 0.01910762, -0.766735012, 24.465193501, 0.036048962, 3.855427261, 0.798486933, 0.310966094, -0.796657064, 0.027714386, 1.22747838, 0.870712281, 0.015566358, 0.076923, 0.333333, 0.5, 0.615385, 0.933333, 0.876830319, 0.254952627, 642.892962548, 0.18, 0.18, 1.53, 132.6, 7.24, 1.41, 108.370362, 2290.240173, 1835.669942, 2685.912946, 0.003765, 0.035998, 0.236245, 0.455228, 160000.0, 0.115792, 0.156032, 0.005168, 0.0, 5428.3
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-619-2414900, 619.0, 424955.206271052, 0.611649747, 19.30583973, 0.025818802, 0.02586058, 1.474003424, 0.076706475, 1.996768982, 0.343964383, 5.445138466, 0.4436152, 0.691119916, -6.157238465, 0.039928515, 0.0, 0.0, 0.000888617, 0.000624803, 0.556419179, 0.949192246, 0.388801498, 55.075806068, 0.189499192, 0.022921447, -1.434726375, 19.273715274, 0.005188258, 0.681538219, 0.895803184, 0.241940507, -0.438563373, 0.037660716, 1.265584043, 1.421309245, 0.004740725, 0.0625, 0.25, 0.5, 0.5625, 0.9375, 0.930533118, 0.147011309, 332.64280648, 0.05, 0.05, 0.67, 108.78, 3.22, 0.8, 123.627051, 1214.749517, 1257.449326, 1468.314614, 0.012613, 0.112287, 0.392887, 0.48619, 160000.0, 0.118751, 0.156776, 0.006462, 0.001616, 3229.67
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-749-2671512, 749.0, 430000.760017359, 0.557672747, -7.126736377, 0.024269751, 0.024302197, 1.069885964, 0.102031476, 1.997329773, 0.343223766, 7.829505919, 0.300004989, 0.673007019, -17.641015501, 0.034553881, 0.0, 0.0, 0.000653715, 0.000315953, 1.93149074, 0.946261682, 0.239304288, -16.916873847, 0.176902537, 0.025921496, 4.89224889, 21.785914052, 0.023060589, 0.748118441, 0.825799338, 0.304697322, -0.653938712, 0.039405799, 0.750257969, 2.203089416, 0.013368017, 0.011905, 0.227273, 0.5, 0.727273, 0.985577, 0.761014686, 0.496662216, 370.476541668, 0.08, 0.07, 0.8, 135.03, 2.5, 0.97, 107.193824, 1447.159411, 1438.550587, 1757.326936, 0.007283, 0.0682, 0.33893, 0.478406, 160000.0, 0.075157, 0.091909, 0.00267, 0.0, 13284.5
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-397-1556403, 397.0, 473742.686068488, 0.751951095, 5.524044084, 0.030001788, 0.03007755, 1.999692227, 0.059176382, 1.994962217, 0.350396419, 5.438990911, 0.530492818, 1.027003376, 3.418589844, 0.044295534, 1.5e-08, -4.0e-09, 0.001179481, 0.000958475, 0.519554409, 0.974559194, 0.607399746, 2.355549337, 0.23186398, 0.037229142, -0.578764438, 15.026869985, 0.00250554, 0.517884147, 0.853763441, 0.286678847, -0.556257347, 0.110646728, 0.696163718, -1.416103057, 0.00321594, 0.1, 0.333333, 0.4, 0.666667, 0.9, 0.826196474, 0.360201511, 206.715450426, 0.02, 0.02, 0.35, 122.3, 0.92, 0.55, 143.701592, 820.252268, 982.789822, 966.835325, 0.030411, 0.212323, 0.444898, 0.49258, 160000.0, 0.085613, 0.106854, 0.005038, 0.002519, 11858.0
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-681-2310181, 681.0, 457561.987567698, 0.599041408, 2.247365381, 0.024118147, 0.024153614, 1.167768525, 0.120431038, 1.997063142, 0.343246131, 5.957490401, 0.287752916, 0.480304375, -1.0043929, 0.036903166, 3.3e-08, -2.5e-08, 0.000564089, 0.00024418, 0.907379924, 1.040602056, 0.258508233, -2.801231977, 0.2, 0.031516874, -4.067938839, 20.104072235, 0.007960745, 0.253656407, 0.865311309, 0.30064099, -0.481719114, 0.039591913, 1.083444746, 0.758547331, 0.049874643, 0.013158, 0.276316, 0.5, 0.666667, 0.986842, 0.798825257, 0.425844347, 397.962917423, 0.06, 0.06, 0.59, 152.79, 2.95, 0.88, 117.229998, 1346.137729, 1405.97466, 1674.85645, 0.011012, 0.095733, 0.373201, 0.483764, 160000.0, 0.146674, 0.204208, 0.005874, 0.0, 2503.58
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-1002-19385, 1002.0, 529670.57785056, 0.553461675, 5.352681671, 0.017747274, 0.017765004, 1.804168657, 0.082495803, 1.998003992, 0.345686104, 6.756612272, 0.363639059, 0.479567177, -1.257688243, 0.027968016, 2.3e-08, 3.96e-07, 0.000704892, 0.000345909, 1.258779079, 0.731187625, 0.231800102, -1.355558841, 0.189371257, 0.016202972, -3.107928489, 21.694361043, 0.025991373, 0.655184941, 0.804819277, 0.310066821, -0.760283999, 0.08162812, 0.802694746, 5.911590808, 0.011507352, 0.1, 0.222222, 0.5, 0.75, 0.9, 0.847305389, 0.317365269, 550.235262782, 0.13, 0.13, 1.41, 160.86, 2.79, 1.24, 107.605525, 2044.403137, 1803.55364, 2470.514616, 0.00465, 0.044365, 0.270586, 0.464551, 160000.0, 0.139404, 0.179466, 0.005988, 0.0, 6093.6
/.autofs/csother/ubccsresearcharrow-raid1/projects/TSP_Data/INSTANCE/PORTCGEN/rand/portcgen-448-2597031, 448.0, 275931.706342233, 0.639451063, 20.381671157, 0.039784982, 0.039873986, 1.094120434, 0.106719417, 1.995535714, 0.306863044, 411.612725615, 0.332410609, 0.927945344, 2.132578938, 0.062125184, 0.0, 0.0, 0.001585556, 0.001775092, 0.42076218, 1.022098214, 0.550409451, 2.758941402, 0.187165179, 0.038515138, -1.850271921, 21.19794125, 0.003740425, 1.81915185, 0.831168831, 0.275722575, -0.729410119, 0.032665315, 1.311783749, 1.388518104, 0.002308925, 0.05, 0.2, 0.4, 0.75, 0.95, 0.801339286, 0.417410714, 211.160614742, 0.03, 0.03, 0.61, 83.88, 1.95, 0.6, 109.388686, 1099.150465, 1117.104225, 1212.685237, 0.020015, 0.161347, 0.424476, 0.490678, 160000.0, 0.06733, 0.085766, 0.004464, 0.0, 25088.0
